Animal_ID,Trial,Dpat,Time_min,l_star,a_star,b_star,PaO2,cal_SaO2,PaCO2,Cl,HCO3,Temp,pH,Cartridge_expired,Coox_SaO2,Hct,total_Hb,O2Hb,COHb,MetHb,O2_suppl
I9,4,70,30,19.1,39.7,26.1,59,91.4,43.8,109,31.4,39.5,7.46,No,89.7,20,7.6,86,2.5,1.6,No
I9,5,0,5,14.4,35.1,21.3,38.4,69.7,55.2,107,32,38.9,7.37,No,63.9,30,11,62.2,0,2.7,No
I9,5,0,10,17.4,40.4,25.4,56.5,89,49.5,107,32.1,38.8,7.42,No,86.6,29,10.2,83.2,2.2,1.8,No
I9,5,0,15,18,41,27.4,59.7,90.7,48.2,107,31.8,38.8,7.43,No,87.5,27,9.6,84,2.5,1.4,No
I9,5,0,20,17.6,41,26.5,58.2,90.6,45.9,109,31.8,39.1,7.45,No,87.6,26,9.3,83.9,2.4,1.9,No
I9,5,0,30,18.6,42.5,29.4,59.2,91.2,47,107,33.2,39.2,7.46,No,89.9,25,9.1,86.6,2.3,1.4,No
I9,5,0,42,20,45.3,31.7,228.8,99.8,51.9,107,34.1,38.9,7.43,Yes,95.7,25,9.2,91.9,2.9,1.1,Yes
I9,5,0,45,20.6,45.2,32.1,209.6,99.7,52.1,108,34.4,NA,7.43,Yes,95.7,26,9.2,91.8,3,1.1,Yes
I9,5,0,47,21,44.5,31.2,NA,NA,53.6,107,33.7,38.9,7.41,Yes,96,26,9.2,92.1,3,1,Yes
I9,6,0,43,21.2,46.2,33.2,290.6,99.9,53.2,106,30,39,7.36,Yes,96.6,22,8.4,93,2.2,1.5,Yes
I9,6,0,45,20.8,45.3,31.1,270.9,99.9,52.6,106,32.3,39,7.4,Yes,96.2,22,8.5,92.6,2.2,1.5,Yes
